adresse;name;bytes;aufrufer;ruft_auf
0x00415340;CON_Cache<T>__Unlock_7;347;5;6
0x004154a0;CON_Cache<T>__Unlock_30;311;2;4
0x004155e0;CON_Cache<T>__Unlock_10;347;3;6
0x00415740;CON_Cache<T>__Unlock_12;311;2;4
0x00415880;FUN_00415880;46;2;1
0x004158b0;FUN_004158b0;131;4;2
0x00415940;CON_Cache<T>__Unlock;292;7;4
0x00415a70;FUN_00415a70;44;1;1
0x00415aa0;CON_Cache<T>__Unlock_3;368;81;6
0x00415c10;FUN_00415c10;137;4;0
0x00415ca0;CON_Cache<T>__Lock;695;4;7
0x00415f60;FUN_00415f60;50;4;1
0x00415fa0;FUN_00415fa0;130;1;2
0x00416030;CON_Cache<T>__Unlock_22;567;1;10
0x00416270;FUN_00416270;79;2;0
0x004162c0;FUN_004162c0;38;1;1
0x004162f0;CON_Cache<T>__Lock_6;528;11;2
0x00416500;CON_Cache<T>__Lock_7;492;4;2
0x004166f0;CON_Cache<T>__Unlock_25;283;6;4
0x00416810;FUN_00416810;98;4;0
0x00416880;CON_Cache<T>__Unlock_27;343;6;4
0x004169e0;CON_Cache<T>__Unlock_15;2308;1;17
0x004172f0;FUN_004172f0;29;8;0
0x00417310;FUN_00417310;81;9;0
0x00417370;FUN_00417370;82;5;0
0x004173d0;FUN_004173d0;226;1;4
0x004174c0;CON_Cache<T>__Unlock_9;350;1;4
0x00417620;FUN_00417620;721;2;15
0x00417900;CON_Cache<T>__Unlock_2;214;2;3
0x004179e0;FUN_004179e0;240;4;0
0x00417ad0;FUN_00417ad0;427;4;0
0x00417c80;FUN_00417c80;5673;2;9
0x004192b0;FUN_004192b0;4063;3;7
0x0041a290;Aqua_Spawn__PreCache_MultiPlayer;4077;2;9
0x0041b280;Aqua_Spawn__SpawnEscapePod;234;4;4
0x0041b370;FUN_0041b370;297;4;2
0x0041b4a0;Aqua_Spawn__SpawnBullet;564;6;9
0x0041b6e0;Aqua_Spawn__SpawnSplashDamage;367;5;7
0x0041b850;Aqua_Spawn__SpawnTorpedo;1199;4;14
0x0041bd00;Aqua_Spawn__SpawnEmitter;180;2;3
0x0041bdc0;FUN_0041bdc0;1007;4;12
0x0041c1b0;Aqua_Spawn__SpawnDipol;200;4;5
0x0041c280;Aqua_Spawn__SpawnGun;79;1;3
0x0041c2d0;Aqua_Spawn__SpawnItemBox;374;2;7
0x0041c450;FUN_0041c450;52;5;1
0x0041c490;Aqua_Spawn__NOD_GetBulletVelocity;56;6;2
0x0041c4d0;Aqua_Spawn__GetBulletRange;62;10;2
0x0041c510;FUN_0041c510;1410;1;1
0x0041caa0;FUN_0041caa0;945;3;1
0x0041ce60;FUN_0041ce60;265;1;1
0x0041cf70;FUN_0041cf70;405;3;1
0x0041d110;FUN_0041d110;20;1;0
0x0041d130;FUN_0041d130;221;6;3
0x0041d210;FUN_0041d210;215;3;2
0x0041d2f0;FUN_0041d2f0;108;1;1
0x0041d360;FUN_0041d360;945;3;1
0x0041d720;FUN_0041d720;33;1;0
0x0041d750;FUN_0041d750;33;1;0
0x0041d780;FUN_0041d780;7;9;0
0x0041d790;FUN_0041d790;31;0;1
0x0041d7b0;FUN_0041d7b0;72;3;0
0x0041d800;FUN_0041d800;180;0;7
0x0041d8c0;FUN_0041d8c0;330;0;12
0x0041da10;FUN_0041da10;491;0;16
0x0041dc00;FUN_0041dc00;135;0;5
0x0041dc90;FUN_0041dc90;251;1;13
0x0041dd90;FUN_0041dd90;72;1;0
0x0041dde0;FUN_0041dde0;180;0;7
0x0041dea0;FUN_0041dea0;330;0;12
0x0041dff0;FUN_0041dff0;471;0;14
0x0041e1d0;FUN_0041e1d0;251;1;13
0x0041e2d0;FUN_0041e2d0;72;1;0
0x0041e320;FUN_0041e320;180;0;7
0x0041e3e0;FUN_0041e3e0;491;0;16
0x0041e5d0;FUN_0041e5d0;251;1;13
0x0041e6d0;FUN_0041e6d0;38;1;1
0x0041e700;FUN_0041e700;183;1;1
0x0041e7c0;FUN_0041e7c0;263;2;11
0x0041e8d0;FUN_0041e8d0;115;7;1
0x0041e950;FUN_0041e950;30;0;2
0x0041e970;FUN_0041e970;304;1;11
0x0041eaa0;FUN_0041eaa0;1089;0;31
0x0041eef0;FUN_0041eef0;1332;0;43
0x0041f430;Aqua_State_Menu__GetNameByType;342;1;1
0x0041f620;Aqua_State_Menu__LoadBackgroundPictures;609;1;14
0x0041f890;FUN_0041f890;788;1;14
0x0041fbb0;FUN_0041fbb0;472;1;6
0x0041fd90;FUN_0041fd90;347;0;15
0x0041fef0;FUN_0041fef0;1108;1;5
0x00420530;FUN_00420530;736;1;13
0x00420810;FUN_00420810;169;1;1
0x004208c0;Aqua_State_Game__ctor;32;4;0
0x004208e0;FUN_004208e0;43;0;3
0x00420910;thunk_FUN_004213e0;5;0;0
0x00420920;Aqua_State_Menu_InGame__HeartBeat;2386;0;47
0x004212b0;FUN_004212b0;300;0;10
0x004213e0;FUN_004213e0;1707;0;47
0x00421a90;FUN_00421a90;322;2;11
0x00421be0;FUN_00421be0;88;1;3
0x00421c40;FUN_00421c40;57;0;3
0x00421c80;FUN_00421c80;10;0;1
0x00421c90;FUN_00421c90;611;0;20
0x00421f00;thunk_FUN_004222d0;5;0;1
0x00421f10;FUN_00421f10;957;1;19
0x004222d0;FUN_004222d0;231;2;8
0x004223c0;Aqua_State_MultiPlayer__Aqua_State_MultiPlayer;314;6;12
0x00422500;FUN_00422500;100;0;4
0x00422570;FUN_00422570;31;0;2
0x00422590;Aqua_State_MultiPlayer__Handle_Not_Initialised;333;0;15
0x00422700;thunk_FUN_004230e0;5;0;1
0x00422710;FUN_00422710;2508;1;48
0x004230e0;FUN_004230e0;306;2;10
0x00423220;FUN_00423220;352;0;3
0x00423380;FUN_00423380;3039;1;32
0x00423f90;FUN_00423f90;450;1;15
0x004245d0;FUN_004245d0;516;1;12
0x004247e0;Aqua_State_InstantFight__ctor;128;4;3
0x00424860;FUN_00424860;80;0;3
0x004248b0;FUN_004248b0;10;0;1
0x004248c0;Aqua_State_SinglePlayer__HeartBeat;2476;0;55
0x004252a0;thunk_FUN_00426390;5;0;1
0x004252b0;Aqua_Locale__GetLanguageTpye_2;1935;1;39
0x00425a70;Aqua_State_SinglePlayer__EquipPlayerToEngine;576;1;6
0x00425d40;FUN_00425d40;1494;1;6
0x00426320;FUN_00426320;107;1;0
0x00426390;FUN_00426390;349;2;12
0x004264f0;FUN_004264f0;346;1;3
0x00426670;FUN_00426670;348;1;8
0x004267d0;FUN_004267d0;9;2;0
0x004267e0;FUN_004267e0;36;0;2
0x00426810;FUN_00426810;9;0;1
0x00426820;FUN_00426820;1998;0;38
0x00426ff0;FUN_00426ff0;616;1;6
0x00427260;FUN_00427260;326;1;10
0x004273b0;FUN_004273b0;307;1;14
0x004274f0;FUN_004274f0;121;5;4
0x00427570;FUN_00427570;85;4;3
0x004275d0;FUN_004275d0;13;11;0
0x004275e0;FUN_004275e0;83;4;1
0x00427640;Aqua_TextTable__LoadTable;852;11;17
0x004279a0;FUN_004279a0;51;7;0
0x004279e0;operator_new;14;623;1
0x004279f0;operator_delete;12;921;1
0x00427a00;FUN_00427a00;22;0;2
0x00427a30;FUN_00427a30;317;2;2
0x00427b90;FUN_00427b90;148;1;5
0x00427c30;FUN_00427c30;4244;1;20
0x00428cd0;FUN_00428cd0;178;11;5
0x00428d90;FUN_00428d90;173;2;2
0x00428e40;FUN_00428e40;684;2;9
0x00429130;FUN_00429130;10;1;1
0x00429140;FUN_00429140;202;2;2
0x00429210;FUN_00429210;495;2;10
0x00429400;FUN_00429400;75;1;3
0x00429450;FUN_00429450;351;3;10
0x004295b0;FUN_004295b0;133;9;3
0x00429640;FUN_00429640;52;9;2
0x00429680;FUN_00429680;480;1;1
0x00429860;FUN_00429860;226;2;10
0x00429950;FUN_00429950;351;1;6
0x00429ab0;FUN_00429ab0;1844;1;42
0x0042a200;FUN_0042a200;30;1;2
0x0042a220;FUN_0042a220;30;1;2
0x0042a240;FUN_0042a240;23;1;3
0x0042a257;FUN_0042a257;56;1;0
0x0042a28f;FUN_0042a28f;207;22;5
0x0042a360;FUN_0042a360;20;4;2
0x0042a37d;FUN_0042a37d;174;1;4
0x0042a42c;__ftol;39;85;0
0x0042a453;FUN_0042a453;9;0;1
0x0042a460;FUN_0042a460;47;24;0
0x0042a48f;FUN_0042a48f;52;5;2
0x0042a4d0;_strncpy;254;11;0
0x0042a5ce;FUN_0042a5ce;82;43;2
0x0042a620;__allrem;178;4;0
0x0042a6d2;FUN_0042a6d2;126;1;4
0x0042a750;FUN_0042a750;18;873;1
0x0042a762;FUN_0042a762;47;0;2
0x0042a791;entry;233;0;15
0x0042a899;__amsg_exit;34;10;3
0x0042a8be;FUN_0042a8be;35;1;3
0x0042a8e2;FUN_0042a8e2;18;1;1
0x0042a8f4;FUN_0042a8f4;62;1;0
0x0042a932;FUN_0042a932;41;1;3
0x0042a95b;FUN_0042a95b;90;0;2
0x0042aa1b;__fassign;62;0;2
0x0042aa59;FUN_0042aa59;97;1;3
0x0042aaba;FUN_0042aaba;194;2;2
0x0042ab7c;FUN_0042ab7c;85;1;3
0x0042abd1;FUN_0042abd1;167;2;2
0x0042ac78;FUN_0042ac78;147;1;4
0x0042ad0b;__cfltcvt;81;0;3
0x0042ad5c;FUN_0042ad5c;37;2;2
0x0042ad81;FUN_0042ad81;84;3;3
0x0042add5;FUN_0042add5;96;1;3
0x0042ae35;FUN_0042ae35;152;3;6
0x0042aecd;FUN_0042aecd;165;1;6
0x0042af72;FUN_0042af72;691;3;3
0x0042b225;FUN_0042b225;535;3;2
0x0042b43c;FUN_0042b43c;136;4;4
0x0042b4c4;FUN_0042b4c4;40;4;1
0x0042b4ec;FUN_0042b4ec;37;1;0
0x0042b511;FUN_0042b511;45;2;0
0x0042b53e;__frnd;18;3;0
0x0042b550;FUN_0042b550;41;2;0
0x0042b579;FUN_0042b579;90;5;0
0x0042b5d3;FUN_0042b5d3;193;3;1
0x0042b694;FUN_0042b694;14;1;0
0x0042b6a2;FUN_0042b6a2;15;1;0
0x0042b6b1;FUN_0042b6b1;35;10;0
0x0042b6d4;FUN_0042b6d4;86;1;0
0x0042b730;__trandisp1;103;2;0
0x0042b797;__trandisp2;140;2;0
0x0042b834;FUN_0042b834;7;0;0
0x0042b86d;FUN_0042b86d;2;0;0
0x0042b86f;FUN_0042b86f;40;0;0
0x0042b897;FUN_0042b897;63;0;0
0x0042b8d6;FUN_0042b8d6;29;0;0
0x0042b900;FUN_0042b900;23;2;0
0x0042b917;__startOneArgErrorHandling;60;4;1
0x0042b960;FUN_0042b960;21;1;0
0x0042b975;FUN_0042b975;23;3;0
0x0042b98c;FUN_0042b98c;25;2;0
0x0042b9a5;__fload_withFB;67;1;0
0x0042b9e8;FUN_0042b9e8;22;2;0
0x0042b9fe;FUN_0042b9fe;13;1;0
0x0042ba0b;__math_exit;42;2;1
